sex	age	birthplace	shoesize	smoking	 avgrade	bafög	applynumb	acceptnumb	laptop	car	glasses	 sleep	religion	job	unieval	  cityeval	rent	abroadbefore	master	exchange	faith	brothsis	friend	animal	micromacro	work	tv	party	parentseducat	parentsstudy	parentsphd	hairdresser	travel	height	weight	cooking	 profession meat	statistics	macburger	studyfine	newspaper	information	soccommit	econconcept						
0,0	19,0	4,0	46,0	1,0	2,2	1,0	4,0	4,0	0,0	1,0	1,0	9,0	5,0	0,0	3,0	5,0	310,0	0,0	2,0	-1,0	-2,0	0,0	0,0	0,0	2,0	3,0	20,0	6,0	3,0	1,0	0,0	10,0	0,0	196,0	85,0	3,0	0,0	1,0	0,0	2,0	1,0	6,0	4,0	0,0	-1,0						
0,0	20,0	3,0	46,0	1,0	2,3	0,0	6,0	4,0	1,0	1,0	1,0	7,0	2,0	0,0	1,0	3,0	300,0	1,0	1,0	1,0	0,0	1,0	0,0	0,0	3,0	7,0	20,0	2,0	3,0	1,0	0,0	6,0	2,0	183,0	83,0	3,0	0,0	1,0	1,0	1,0	0,0	3,0	2,0	1,0	0,0						
0,0	21,0	5,0	43,0	1,0	1,5	1,0	6,0	6,0	1,0	0,0	1,0	7,0	2,0	0,0	3,0	3,0	245,0	0,0	1,0	1,0	-1,0	2,0	0,0	1,0	3,0	3,5	8,0	5,0	2,0	0,0	0,0	5,0	0,0	174,0	67,0	3,0	0,0	1,0	0,0	1,0	0,0	6,0	4,0	1,0	0,0						
1,0	20,0	4,0	40,0	0,0	1,6	0,0	5,0	5,0	1,0	0,0	0,0	8,5	5,0	0,0	2,0	2,0	260,0	0,0	1,0	0,0	-2,0	1,0	1,0	1,0	2,0	5,0	3,0	5,0	2,0	0,0	0,0	3,0	0,0	176,0	68,0	4,0	0,0	1,0	0,0	4,0	2,0	3,0	2,0	0,0	1,0						
0,0	20,0	4,0	NA	0,0	1,7	0,0	10,0	9,0	1,0	0,0	1,0	8,0	2,0	0,0	2,0	2,0	295,0	0,0	2,0	2,0	2,0	1,0	0,0	1,0	2,0	15,0	3,0	3,0	3,0	1,0	0,0	5,0	2,0	180,0	78,0	5,0	0,0	1,0	0,0	2,0	1,0	4,0	2,0	0,0	1,0						
0,0	21,0	1,0	46,0	0,0	2,1	1,0	7,0	6,0	1,0	1,0	0,0	9,0	5,0	0,0	1,0	2,0	400,0	1,0	1,0	1,0	-2,0	1,0	0,0	1,0	3,0	5,0	14,0	2,0	3,0	1,0	0,0	9,0	2,0	182,0	78,0	3,0	0,0	1,0	0,0	1,0	1,0	7,0	5,0	1,0	2,0						
0,0	22,0	6,0	49,0	0,0	1,2	0,0	6,0	6,0	0,0	0,0	1,0	7,0	5,0	2,0	2,0	3,0	250,0	1,0	0,0	0,0	-2,0	1,0	1,0	1,0	3,0	8,0	0,0	3,0	3,0	1,0	0,0	0,0	2,0	190,0	85,0	3,0	0,0	1,0	1,0	1,0	2,0	9,0	4,0	0,0	1,0						
0,0	21,0	6,0	42,0	0,0	1,0	0,0	3,0	3,0	1,0	0,0	0,0	7,5	1,0	0,0	2,0	3,0	410,0	1,0	2,0	0,0	1,0	2,0	1,0	1,0	2,0	18,0	2,0	3,0	3,0	1,0	1,0	12,0	3,0	181,0	65,0	3,0	0,0	1,0	0,0	3,0	2,0	3,0	4,0	1,0	1,0						
1,0	21,0	3,0	37,0	0,0	1,4	0,0	5,0	5,0	1,0	0,0	1,0	8,5	1,0	1,0	2,0	2,0	240,0	1,0	1,0	2,0	1,0	1,0	0,0	0,0	3,0	10,0	9,0	NA	3,0	1,0	0,0	0,0	2,0	167,0	53,0	3,0	0,0	1,0	0,0	1,0	2,0	3,0	5,0	0,0	1,0						
0,0	24,0	10,0	44,0	0,0	2,9	1,0	5,0	5,0	1,0	0,0	1,0	5,0	3,0	0,0	1,0	1,0	173,0	1,0	-2,0	-2,0	2,0	3,0	1,0	1,0	1,0	40,0	0,0	1,0	1,0	0,0	0,0	10,0	3,0	180,0	70,0	1,0	1,0	1,0	1,0	4,0	2,0	3,0	1,0	1,0	1,0						
