portfolioName(string),index(int option),yearMonth(date),ret(float)
Mine,1,2005-05-01T00:00:00.0000000,0.028320283126003733
Mine,2,2005-05-01T00:00:00.0000000,0.03998400709032274
Mine,3,2005-05-01T00:00:00.0000000,0.03945761499224605
Mine,1,2005-06-01T00:00:00.0000000,0.023417136587630644
Mine,2,2005-06-01T00:00:00.0000000,-0.0014143015119884115
Mine,3,2005-06-01T00:00:00.0000000,0.0049040936459509785
Mine,1,2005-07-01T00:00:00.0000000,0.04187409212582747
Mine,2,2005-07-01T00:00:00.0000000,0.04014163545703771
Mine,3,2005-07-01T00:00:00.0000000,0.040129466616354435
Mine,1,2005-08-01T00:00:00.0000000,-0.010193268600896265
Mine,2,2005-08-01T00:00:00.0000000,-0.003913883475464871
Mine,3,2005-08-01T00:00:00.0000000,-0.010491784886808686
Mine,1,2005-09-01T00:00:00.0000000,0.011333296886958768
Mine,2,2005-09-01T00:00:00.0000000,0.004527850502565508
Mine,3,2005-09-01T00:00:00.0000000,0.009651404782967924
Mine,1,2005-10-01T00:00:00.0000000,-0.021590280874782132
Mine,2,2005-10-01T00:00:00.0000000,-0.03642590357800072
Mine,3,2005-10-01T00:00:00.0000000,-0.0058218167395549855
Mine,1,2005-11-01T00:00:00.0000000,0.03500759392558275
Mine,2,2005-11-01T00:00:00.0000000,0.04321985232775406
Mine,3,2005-11-01T00:00:00.0000000,0.03471314129520522
Mine,1,2005-12-01T00:00:00.0000000,0.005102199079254403
Mine,2,2005-12-01T00:00:00.0000000,-0.00443664388306151
Mine,3,2005-12-01T00:00:00.0000000,-0.0031863821792520405
Mine,1,2006-01-01T00:00:00.0000000,0.054282587586662476
Mine,2,2006-01-01T00:00:00.0000000,0.018551160046260708
Mine,3,2006-01-01T00:00:00.0000000,0.04348279391265972
Mine,1,2006-02-01T00:00:00.0000000,-0.0024301984769954034
Mine,2,2006-02-01T00:00:00.0000000,-0.00662555835490083
Mine,3,2006-02-01T00:00:00.0000000,-0.007931136471579022
Mine,1,2006-03-01T00:00:00.0000000,0.015897326222932016
Mine,2,2006-03-01T00:00:00.0000000,0.01734224001876078
Mine,3,2006-03-01T00:00:00.0000000,0.011637743685782341
Mine,1,2006-04-01T00:00:00.0000000,0.011941074615686588
Mine,2,2006-04-01T00:00:00.0000000,0.0170505289432447
Mine,3,2006-04-01T00:00:00.0000000,9.621612745756153E-05
Mine,1,2006-05-01T00:00:00.0000000,-0.03855248638790309
Mine,2,2006-05-01T00:00:00.0000000,-0.031427459606383164
Mine,3,2006-05-01T00:00:00.0000000,-0.03692330226127088
Mine,1,2006-06-01T00:00:00.0000000,-0.0027238496353809856
Mine,2,2006-06-01T00:00:00.0000000,-0.008413779352122718
Mine,3,2006-06-01T00:00:00.0000000,-0.004134499922636346
Mine,1,2006-07-01T00:00:00.0000000,0.005607950718526869
Mine,2,2006-07-01T00:00:00.0000000,-0.004602312643573288
Mine,3,2006-07-01T00:00:00.0000000,-0.024962680988090263
Mine,1,2006-08-01T00:00:00.0000000,0.01631810661065363
Mine,2,2006-08-01T00:00:00.0000000,0.01874936296643673
Mine,3,2006-08-01T00:00:00.0000000,0.026348207465907502
Mine,1,2006-09-01T00:00:00.0000000,0.01190974246577305
Mine,2,2006-09-01T00:00:00.0000000,0.011827059710958241
Mine,3,2006-09-01T00:00:00.0000000,0.023454071449795433
Mine,1,2006-10-01T00:00:00.0000000,0.03188159648152459
Mine,2,2006-10-01T00:00:00.0000000,0.0307018756964327
Mine,3,2006-10-01T00:00:00.0000000,0.034837530189700025
Mine,1,2006-11-01T00:00:00.0000000,0.02268029735625341
Mine,2,2006-11-01T00:00:00.0000000,0.01987535468153829
Mine,3,2006-11-01T00:00:00.0000000,0.013746058863892418
Mine,1,2006-12-01T00:00:00.0000000,0.0051913510550506935
Mine,2,2006-12-01T00:00:00.0000000,0.008906261885718294
Mine,3,2006-12-01T00:00:00.0000000,0.0063840001923833965
Mine,1,2007-01-01T00:00:00.0000000,0.013454561276147668
Mine,2,2007-01-01T00:00:00.0000000,0.012474093183458365
Mine,3,2007-01-01T00:00:00.0000000,0.014606565672482138
Mine,1,2007-02-01T00:00:00.0000000,-0.01659678971479723
Mine,2,2007-02-01T00:00:00.0000000,-0.021898512539764013
Mine,3,2007-02-01T00:00:00.0000000,-0.011425016135424586
Mine,1,2007-03-01T00:00:00.0000000,0.009352159432303688
Mine,2,2007-03-01T00:00:00.0000000,0.008037982605616929
Mine,3,2007-03-01T00:00:00.0000000,0.011003056082638072
Mine,1,2007-04-01T00:00:00.0000000,0.033649000249321596
Mine,2,2007-04-01T00:00:00.0000000,0.041561093504929834
Mine,3,2007-04-01T00:00:00.0000000,0.03380716547887684
Mine,1,2007-05-01T00:00:00.0000000,0.038846909186056364
Mine,2,2007-05-01T00:00:00.0000000,0.038347066649588646
Mine,3,2007-05-01T00:00:00.0000000,0.03292789909742317
Mine,1,2007-06-01T00:00:00.0000000,-0.018961859045204088
Mine,2,2007-06-01T00:00:00.0000000,-0.0131036319278631
Mine,3,2007-06-01T00:00:00.0000000,-0.021657238162223504
Mine,1,2007-07-01T00:00:00.0000000,-0.033319965146325625
Mine,2,2007-07-01T00:00:00.0000000,-0.03861390987418012
Mine,3,2007-07-01T00:00:00.0000000,-0.03169942606994347
Mine,1,2007-08-01T00:00:00.0000000,-4.313226193743136E-09
Mine,2,2007-08-01T00:00:00.0000000,0.008298498307855423
Mine,3,2007-08-01T00:00:00.0000000,0.017467824643338757
