Rank,Rank,Movie_name,IMDb_id,Release_Year,IMDB_Rating,Reviewer_count,Movie_Length,Genre,Director,Starring,Budget,Cum_Worldwide_Gross,Country,Language
37,37,Exterminador Implacável 2: O Dia do Julgamento,0103064,1991,8.5,981497,137,"['Action', 'Sci-Fi']",James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']",102000000,520884847,"['USA', 'France']","['English', 'Spanish']"
38,38,América Proibida,0120586,1998,8.5,1020487,119,['Drama'],Tony Kaye,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo""]",20000000,23875127,['USA'],['English']
39,39,Tempos Modernos,0027977,1936,8.5,213430,87,"['Comedy', 'Drama', 'Family']",Charles Chaplin(as Charlie Chaplin),"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman']",1500000,457688,['USA'],['English']
40,40,Psico,0054215,1960,8.5,592925,109,"['Horror', 'Mystery', 'Thriller']",Alfred Hitchcock,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles']",806947,32038346,['USA'],['English']
41,41,Gladiador,0172495,2000,8.5,1317805,155,"['Action', 'Adventure', 'Drama']",Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen']",103000000,465361176,"['USA', 'UK', 'Malta', 'Morocco']",['English']
42,42,Luzes da Cidade,0021749,1931,8.5,164440,87,"['Comedy', 'Drama', 'Romance']",Charles Chaplin,"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee']",1500000,46008,['USA'],"['None', 'English']"
43,43,The Departed - Entre Inimigos,0407887,2006,8.5,1168416,151,"['Crime', 'Drama', 'Thriller']",Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson']",90000000,291465034,"['USA', 'Hong Kong']","['English', 'Cantonese']"
44,44,Amigos Improváveis,1675434,2011,8.5,742944,112,"['Biography', 'Comedy', 'Drama']",Olivier Nakache,"['François Cluzet', 'Omar Sy', 'Anne Le Ny']",9500000,426588510,['France'],"['French', 'English']"
45,45,Hamilton,8503618,2020,8.7,44548,160,"['Biography', 'Drama', 'History']",Thomas Kail,"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.']",0,0,['USA'],['English']
46,46,Whiplash - Nos Limites,2582802,2014,8.5,698366,106,"['Drama', 'Music']",Damien Chazelle,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist']",3300000,48983260,['USA'],['English']
47,47,O Terceiro Passo,0482571,2006,8.5,1166081,130,"['Drama', 'Mystery', 'Sci-Fi']",Christopher Nolan,"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson']",40000000,109676311,"['UK', 'USA']",['English']
48,48,O Túmulo dos Pirilampos,0095327,1988,8.5,228611,89,"['Animation', 'Drama', 'War']",Isao Takahata,"['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi']",3700000,516962,['Japan'],['Japanese']
49,49,Aconteceu no Oeste,0064116,1968,8.5,297916,165,['Western'],Sergio Leone,"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale']",5000000,112911,"['Italy', 'USA']","['English', 'Italian']"
50,50,Casablanca,0034583,1942,8.5,513842,102,"['Drama', 'Romance', 'War']",Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid']",950000,4375071,['USA'],"['English', 'French', 'German', 'Italian']"
