Rank,Rank,Movie_name,IMDb_id,Release_Year,IMDB_Rating,Reviewer_count,Movie_Length,Genre,Director,Starring,Budget,Cum_Worldwide_Gross,Country,Language
227,227,Amor Cão,0245712,2000,8.1,220611,154,"['Drama', 'Thriller']",Alejandro G. Iñárritu(as Alejandro González Iñárritu),"['Emilio Echevarría', 'Gael García Bernal', 'Goya Toledo']",2000000,20908467,['Mexico'],['Spanish']
228,228,Rififi,0048021,1955,8.2,27307,118,"['Crime', 'Drama', 'Thriller']",Jules Dassin,"['Jean Servais', 'Carl Möhner', 'Robert Manuel']",0,521342,['France'],"['French', 'Italian', 'English']"
229,229,O Ódio,0113247,1995,8.1,146346,98,"['Crime', 'Drama']",Mathieu Kassovitz,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui']",2590000,301462,['France'],['French']
230,230,Nausicaä do Vale do Vento,0087544,1984,8.1,146948,117,"['Animation', 'Adventure', 'Fantasy']",Hayao Miyazaki,"['Sumi Shimamoto', 'Mahito Tsujimura', 'Hisako Kyôda']",1000000,8736506,['Japan'],['Japanese']
231,231,Gangs of Wasseypur,1954470,2012,8.2,79669,321,"['Action', 'Crime', 'Drama']",Anurag Kashyap,"['Manoj Bajpayee', 'Richa Chadha', 'Nawazuddin Siddiqui']",184000000,4384642,['India'],['Hindi']
232,232,Rocky,0075148,1976,8.1,509624,120,"['Drama', 'Sport']",John G. Avildsen,"['Sylvester Stallone', 'Talia Shire', 'Burt Young']",960000,117248937,['USA'],['English']
233,233,Monstros e Companhia,0198781,2001,8.0,800889,92,"['Animation', 'Adventure', 'Comedy']",Pete Docter,"['Billy Crystal', 'John Goodman', 'Mary Gibbs']",115000000,579475070,['USA'],['English']
234,234,Rebecca,0032976,1940,8.1,120846,130,"['Drama', 'Mystery', 'Romance']",Alfred Hitchcock,"['Laurence Olivier', 'Joan Fontaine', 'George Sanders']",1288000,72275,['USA'],"['English', 'French']"
235,235,Rang De Basanti,0405508,2006,8.2,109917,167,"['Comedy', 'Drama']",Rakeysh Omprakash Mehra(as Rakesh Omprakash Mehra),"['Aamir Khan', 'Soha Ali Khan', 'Siddharth']",0,8846694,['India'],['Hindi']
236,236,Antes do Anoitecer,0381681,2004,8.1,231066,80,"['Drama', 'Romance']",Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff']",2700000,15936507,"['USA', 'France']","['English', 'French']"
237,237,Retrato de Uma Rapariga em Chamas,8613070,2019,8.1,54143,122,"['Drama', 'Romance']",Céline Sciamma,"['Noémie Merlant', 'Adèle Haenel', 'Luàna Bajrami']",0,9919850,['France'],"['French', 'Italian']"
238,238,Disponível Para Amar,0118694,2000,8.1,120682,98,"['Drama', 'Romance']",Kar-Wai Wong,"['Tony Chiu-Wai Leung', 'Maggie Cheung', 'Ping Lam Siu']",0,12854953,"['Hong Kong', 'China']","['Cantonese', 'Shanghainese', 'French', 'Spanish']"
239,239,"Paris, Texas",0087884,1984,8.1,87941,145,['Drama'],Wim Wenders,"['Harry Dean Stanton', 'Nastassja Kinski', 'Dean Stockwell']",1162000,2206121,"['West Germany', 'France', 'UK']","['English', 'Spanish']"
240,240,Uma Noite Aconteceu,0025316,1934,8.1,92151,105,"['Comedy', 'Romance']",Frank Capra,"['Clark Gable', 'Claudette Colbert', 'Walter Connolly']",325000,0,['USA'],['English']
241,241,Drishyam,4430212,2015,8.2,67314,163,"['Crime', 'Drama', 'Mystery']",Nishikant Kamat,"['Ajay Devgn', 'Shriya Saran', 'Tabu']",9400000,0,['India'],"['Hindi', 'English']"
242,242,Contra tempo,4857264,2016,8.1,131252,106,"['Crime', 'Drama', 'Mystery']",Oriol Paulo,"['Mario Casas', 'Ana Wagener', 'José Coronado']",4000000,31191910,['Spain'],['Spanish']
243,243,As Serviçais,1454029,2011,8.0,422086,146,['Drama'],Tate Taylor,"['Emma Stone', 'Viola Davis', 'Octavia Spencer']",25000000,216639112,['USA'],['English']
244,244,A Princesa Prometida,0093779,1987,8.1,388294,98,"['Adventure', 'Family', 'Fantasy']",Rob Reiner,"['Cary Elwes', 'Mandy Patinkin', 'Robin Wright']",16000000,30883720,['USA'],['English']
245,245,O Circo,0018773,1928,8.1,28598,72,"['Comedy', 'Romance']",Charles Chaplin(as Charlie Chaplin),"['Charles Chaplin', 'Merna Kennedy', 'Al Ernest Garcia']",900000,26916,['USA'],"['None', 'English']"
246,246,A Batalha de Argel,0058946,1966,8.1,51765,121,"['Drama', 'War']",Gillo Pontecorvo,"['Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi']",800000,964028,"['Italy', 'Algeria']","['Arabic', 'French', 'English']"
247,247,O Exterminador Implacável,0088247,1984,8.0,789830,107,"['Action', 'Sci-Fi']",James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Michael Biehn']",6400000,78680331,"['UK', 'USA']","['English', 'Spanish']"
248,248,Aladdin,0103639,1992,8.0,367789,90,"['Animation', 'Adventure', 'Comedy']",Ron Clements,"['Scott Weinger', 'Robin Williams', 'Linda Larkin']",28000000,504050219,['USA'],['English']
249,249,Tangerinas,2991224,2013,8.2,38325,87,"['Drama', 'War']",Zaza Urushadze,"['Lembit Ulfsak', 'Elmo Nüganen', 'Giorgi Nakashidze']",650000,1024132,"['Estonia', 'Georgia']","['Estonian', 'Russian', 'Georgian']"
250,250,Koe no katachi,5323662,2016,8.1,42924,130,"['Animation', 'Drama', 'Family']",Naoko Yamada,"['Miyu Irino', 'Saori Hayami', 'Aoi Yûki']",0,30490447,['Japan'],"['Japanese', 'Japanese Sign Language']"
