"sex"	"age"	"birthplace"	"shoesize"	"service"	"smoking"	"avgrade"	"bafög"	"soccer"	"applynumb"	"acceptnumb"	"car"	"sleep"	"religion"	"job"	"unieval"	"cityeval"	"rent"	"abroadbefore"	"master"	"exchange"	"faith"	"brothsis"	"friend"	"animal"	"howareyou"	"work"	"tv"	"party"	"parentseducat"	"parentsstudy"	"parentsphd"	"languages"	"travel"	"height"	"weight"	"cooking"	"profession"	"meat"	"alternative"	"eggs"	"studyfine"	"newspaper"	"information"	"soccommit"	"econconcept"
"46"	1	21	3	42	0	0	1.8	0	0	3	3	0	7	1	2	2	2	230	1	1	2	1	1	0	0	1	5	2	5	3	1	0	2	1	176	75	2	0	1	3	3	1	5	2	1	1
"47"	0	21	1	43	2	0	2	0	2	8	6	1	8	1	0	1	2	240	0	2	-2	1	0	1	1	2	30	7	1	1	0	0	3	1	178	80	2	0	1	1	2	2	9	5	0	1
"48"	0	24	4	45	3	0	2.2	0	1	10	8	0	8	1	4	3	2	220	1	2	2	-2	1	1	1	2	15	2	5	3	1	0	3	2	185	55	2	0	1	3	3	2	8	5	1	1
"49"	0	21	5	45	2	0	1.1	0	1	4	4	0	7	5	1	2	3	250	0	2	0	-2	0	1	1	1	10	8	2	3	1	0	2	1	200	98	4	0	1	3	3	2	2	4	0	1
"50"	0	20	1	46	2	1	1.5	0	1	12	12	0	8	5	0	1	4	230	0	2	-1	-2	0	1	1	1	10	3	3	3	1	1	2	1	184	90	1	0	1	4	4	0	3	4	0	-1
"51"	0	20	1	44	2	0	1.8	0	1	5	4	0	8	1	0	2	3	215	0	0	2	1	1	1	0	1	10	2	1	1	0	0	2	3	188	76	3	0	1	5	4	0	9	4	0	0
"52"	1	21	1	37	0	0	2.1	0	1	2	2	1	8	2	1	1	2	330	1	1	2	1	0	1	0	1	15	3	1	3	0	0	4	1	168	50	1	0	1	4	4	1	3	5	1	2
"53"	0	19	2	43	0	0	1	0	2	1	1	0	8.5	1	0	2	3	330	0	1	0	-2	1	0	0	-1	0.5	21	2	3	1	1	2	3	190	80	1	0	1	5	3	-2	2	2	0	0
"54"	1	20	1	37	0	0	1	0	0	2	2	1	8	1	0	2	3	290	0	1	0	1	1	1	0	1	16	2	1	3	1	0	3	2	168	52	2	0	1	5	1	0	9	0	1	0
"55"	1	20	1	39	0	1	2.1	0	0	2	2	0	7	2	2	1	2	220	0	1	2	-1	2	1	1	2	3	0.5	5	2	0	0	4	0	177	60	3	0	1	3	3	2	8	4	0	1
